comment,antagonize,condescending,dismissive,hostile
Because the rate of inflation is slowing down wouldn't mean that inflation has stopped. Learn logic.,0,1,0,0
Another person who does not believe in earning your place in life. How sadly pathetic.,1,1,1,0
I have Ericka on ignore. She is a total waste of electrons.,1,1,1,0
You must be pretty young to think that those that lost the last federal election did not believe in stimuli. It just shows your level of knowledge on the subject.,1,1,1,0
a lot of big words there professor. stick with your textbooks and living off the public dole.,0,1,0,0
Pathetic political press.,0,1,1,1
oh really? try learning what a cult is before making a sweeping statement like that.,0,1,1,0
"I guess you're a city person. I've always had a pocket knife on me since I started school [to sharpen my quill pen]. It's just a tool, & so are you.",0,1,0,0
"'With bigger majorities than any of his predecessors have seen.' Uh, that should read 'successors'. Darned Alberta education.",0,1,0,0
Patrick D'Aloisio aww! Are they making fun of your Imaginary Friend?,0,1,0,0
It's a shame that neither the dear professor or the globe editor took the time to learn what Dutch disease was before writing an article on it. Good alma mater you got there Steve.,0,1,0,0
"You think your ""expertise"" is worth something? You uneducated rube! In the real world, what YOU think is exactly meaningless.",1,1,1,1
Think again loid...,0,1,1,0
"Do yourself a favor, turn off the computer and go for a walk.",1,1,1,1
give it a rest. It is well documented and studied as to who and how these woman are meeting their demise. ramp up the insanity.,0,1,0,0
?Should the Canadian government screen potential immigrants for anti-Canadian values as part of its normal screening for refugees and landed immigrants??Duh ..... yeah.,0,1,0,0
"Maybe you should inform yourself as to who did the hostage taking. Start by considering who locked out the teachers and refused to bargain, later doing so in bad faith.",0,1,0,0
This should be pretty simple for you to understand...,0,1,0,0
Stupid and immature comment.,1,1,1,1
"The Southern strategy is accurately described in this article. You need to read up on your US political history, and stop posting nonsense.",0,1,1,0
Get a better job if you want a liveable wage. Read an economics textbook idiot.,1,1,0,1
I don't think you actually read the article.,0,1,0,0
"Yes, you do continue to live in a potted plant world where the sun don't shine.",1,1,1,0
"It's cheaper still to go the LIBRARY. Can you not read or are you being deliberately obtuse? Besides, you have posted elsewhere that people read on the internet now. Do you have a local used eBook store?",0,1,0,0
So let me get this straight ... AP is lying because the WaPo says so?Pot meet kettle.,0,1,0,0
"Citing things from 70 years ago, that were matters of national security and comparing them to political slush funds of today, does nothing to bolster your argument. I could eat a bowl of Alphabets cereal, and crap a better argument.",1,1,1,0
try following the news yourself and actually following what he says and does.,0,1,0,0
"Obviously you aren't ready either Kevka. If you were, you might have said something relevant to this thread instead of a simple, meaningless and sloganeering hashtag.#KevkaJustNotReady",0,1,0,0
"on the other hand right wing pundits as a general rule cannot be taken seriouslyThere, fixed that for you.",1,1,0,0
"During the election, the CPC aired advertisements with the caption 'Just not ready'.I put that off to hyperbole ... but wow ... they were spot on.I have never seen a group of such inept amateurs more interested in the 'self' governing this country.",0,1,0,0
What's the difference between your comments about Muslim refugees and Charlotte Whitton's views of Jewish refugees in 1939? Well done for exposing your true nature and lack of any Canadian values or characteristics.,0,1,0,0
"Chee, everyone else gets it",0,1,0,0
"Keith D LaRiviere are you referring to the trillion dollar give away, please sit down and read",0,1,0,0
Beans cause gastric gas... so does your post!,0,1,0,0
Your premise starts to fall apart when you consider that the Queen is also the 'Supreme Governor of the Church of England'.,0,1,0,0
What a scurrilous attack. You should be ashamed of yourself.,0,1,1,0
You don't understand ad hominem plainly or you wouldn't admit it.,0,1,1,0
Reading the whole article would have helped.,0,1,0,0
Apparantly you geniouses missed my first sentence. The officer was clearly in the wrong here. I said that already. That doesn't make right what sammy was doing that got everyone into this mess.,0,1,0,0
'Pig in the poke' Obama is wallowing in his sty.,1,1,1,1
you are a literal retard,1,1,1,1
"The Health Minister? That means jack squat. Trudeau also said FATCA was an assault on our sovereignty (it is), and now he loves it. Same for Brison and Goodale. Maybe they've lied so much they can't remember.",0,1,0,1
Harper will be played by some dolt.,1,1,1,1
"Get right on that case, Inspector Clouseau.",0,1,0,0
Speaking of morons you fit the bill.,1,1,1,1
GOOD TO SEE GARY MASON OFF THE BC POLITICS FILE and back talking about a sports related topic that he can handle...,0,1,0,0
"You should put Trudeau's speech on your youtube, so you know what he actually said.",0,1,0,0
"Looks like you're a self-hating old stock Canadian. Your family is old stock, it's nothing to be ashamed of, and it's no more divisive than 'newcomer' which is word we use all the time.",0,1,0,0
'me and my husband'? i recommend that she and her husband pick up a copy of Fowler's Modern English Usage before she applies for a position as a judge.,0,1,0,0
"What a ridiculous 'endorsement', if you can call it that. Weasel words. You should be embarrassed.",0,1,0,0
Lining up for your Guaranteed Annual Income any time soon?,0,1,0,0
Before posting try to keep up with the debate. We are talking about face coverings!,0,1,0,0
Talk about completely missing the point.,0,1,0,0
"You're in denial, keller.",0,1,1,0
It's so cute the way climate change deniers are desperately trying to re-frame themselves as defenders of the global poor. But it's not workin' for ya.,1,1,1,0
Donald Trump twitter followers - 17.4 millionElizabeth Renzatti twitter followers -8000 (most / all of them in the GTA)Elizabeth - you're an irrelevant GTA Liberal whiner.,1,1,1,0
Politics is a full contact sport. Attacks have nothing to do with sex. Get used to it.,0,1,1,0
You should try to understand the history of your adopted country. This is far from a watershed moment.,0,1,0,0
Perhaps you should actually read some information on the weather and you will find extreme weather recently is below average within historical norms... But why let facts get in the way?,0,1,0,0
"roach Try to stay on the topic. If it's good enough for the pot, you can't leave the kettle out of the discussion or you end up looking like a fool.",0,1,0,0
He actually compared canada's record with china'sOne would think the press would challenge him on that point... He has lost all credibility at that moment. He really has no clue,0,1,0,0
"Every single sentence a blatant lie. Good work, Peter1410.",1,1,1,1
"Ravensbud. YOU DON""T HAVE TO GO TO THE CEREMONY. The oath is taken when you fill out the paperwork. Seeing somebody's lips moving is absolutely ridiculous.",0,1,0,0
Someone needs to let him know.... it's the 21st century.,0,1,0,0
"The sad part is that the ads are aimed at the stupidest Canadians, those too dumb to think for themselves, so they need Harper to tell them how to think. Fortunately over seventy percent of Canadians are smart enough not to fall for it.",1,1,0,1
Even more skill throwing money at advertising non-existent projects like the Conservatives ?,1,1,0,0
"Art: Your argument is specious. US private health care is the most costly in the OECD. What we have is not perfect; and can be improved, but to suggest a 'free market' is lame.",0,1,0,0
Funny how Liberals think that the 39.5% of he electorate that voted for Junior is a Landslide....,0,1,0,0
And you think Verizon will make this better? Hahahahahahahaha!Good luck with that!,0,1,1,0
I assume it would have taken them too much time to figure out Justice Nadon worked in the Federal Court of Appeal for Quebec which is the crux of the issue here. Nice try at deflection though.,0,1,0,0
Deficit spending is NOT the cure for low productivity. The Liberal government is peddling a fiction.,0,1,0,0
The number of fatal injuries has been going up which the author states and your graphic shows. Might help to read what you use as evidence before you post.,0,1,0,0
Huh? Thomas are you truly that naive?,0,1,0,0
"It doesn't help me either, but it's not all about me. Do you understand how a society should work, matt calgary?",0,1,0,0
"Thumbs down because I cannot take Miley Rae Cyrus seriously after all this, and I'm not even willing to try. She's tacky and not worth the effort. I'm sure she'll do just fine without my support.",0,1,0,0
"I'm sorry, but have you actually spoken to any real, live women on the subject?",1,1,1,0
It appears we didn't read the same article. You need to get a grip.,0,1,1,0
So your logic is 'we have trading relationships with a human rights abusers so we should continue to sell them what they want.' Wow.,0,1,0,0
Go straight to your room!,0,1,1,0
"I'm chuckling already, just thinking about the upcoming winters - when I'll be warm as toast with my wood stove while all the GTA Liberals will be freezing or going broke because of the green energy they voted for. :)))",1,1,0,0
"Oh, do please tell us (with proof) that she has done anything which would land her in the big house?",0,1,0,0
WHAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!'Stephen Harper doesn't like us after we lie about him every day!'Time for an All You Can Eat Hunger Strike!,0,1,0,0
"Yup all those Wall Street tycoons, dyed in the wool leftists. Some times I wonder how certain people figure out at how to use a keyboard.",1,1,1,1
"""Government makes an absolute fortunate on taxes from the oil industry."" ------- How naive! Alberta gives away its oil. Your royalty regime is a gift to Big Oil. Suckers.",0,1,0,0
And yet the people who disagree with you have more detailed responses than you.,0,1,1,0
"I'm guessing a lot of Liberals are having buyers remorse these days. Could have had an actual rocket scientist as leader, but instead they chose the substitute teacher. It says more about the party than I ever could.",0,1,0,0
Blah!. Get real.,0,1,1,0
western propaganda is not a real argument. back to school for you.,0,1,1,0
"What's new here, dear? Liberals will do anything and say anything to get in power and stay in power. I invite you to Google the following because it shows the real nature of the Liberal Party of Canada: 'GST + Nunziata' . Have a nice day.",0,1,0,0
"And we think we have 'arrived' when we get the mortgaged three bedroom house in the burbs with the required SUV, 2 children and of course the dog!!!",0,1,0,0
"Toast province, is the word your looking for. Not provence.------------------and no one noticed thisprovince, is the word YOU'RE looking for. Not provence. YOU'RE = you are (looking for)YOUR is a possessive pronounas in YOUR dog",0,1,0,0
Are you dim or what? The gridlock in Washington has everything to do with the GOP losing 2 consecutive elections and not being happy with a black president. You are a very uniformed person.,1,1,1,1
"R, 7 words: The Constitution is extremely difficult to amend. Try to remember that.",0,1,0,0
'dismiss half your government'?do you have a hot clue what you are talking about? please explain.,0,1,0,0
"Les - How many seats did con leader Kim Campbell win in the 1993 Federal election? In case you are too young to remember, the answer is - Two.",0,1,0,0
It is one thing to insult. It is an entirely different matter to speak the truth. Are you not able to distinguish one from the other?,0,1,0,0
Why is it that we need to acknowledge stupid people who say or do stupid things? By doing so we only give them the relevance they seek - which they do not deserve. Just ignore these people (this includes rob ford),0,1,0,0
"Congratulations Rmiller101, your dream of Stein winning is even more delusional than the Trumpster Divers. That was a tough hurdle to clear but you jumped right over the bar.",0,1,0,0
"""everybody"".....?? so he was speaking in an empty room? if so - how do you know? you were obviously not there",0,1,0,0
Why is it you lefty loons are always railing against population growth until it suits your twisted agenda>,1,1,1,1
Hardly. Gibson is a life long Liberal with a capital 'L'.You certainly do not know Mr. Gibson.,0,1,1,0
Do all Ford voters find it hard to spell a simple three-letter word like 'off'? And do we want people like that to decide who runs things?,0,1,0,0
Keep on believing in the myth. But it won't take your suffering away.,0,1,0,0
"the word is 'waste' not 'waist', that's the part around your middle where your belt goes.",0,1,0,0
"Obama's foreign policy was just about as weak is it could get, I cant imagine Trump can actually be any weaker.",0,1,0,0
"So, they're 'selling like hot cakes'?How many have actually been sold so far?",0,1,0,0
I've never seen such a bunch of psuedo scientific mumbo jumbo in one paragraph in my life....Sounds like you read way too much 'Popular Science'.,1,1,0,1
"Mel, that's it!! The only logical explanation of the last few years, the grand strategy of enlightened sovereignty.",0,1,1,0
Ha! Have you actually read the Torah and are you aware of the rules Orthodox Jews want everyone to live under?,0,1,0,0
"These are assertions, not arguments. Show your work.",0,1,1,0
"You have the right to say it, however you know NOT of what you speak.",0,1,1,0
Are you stuck in the 1950s?,0,1,0,0
"All CONs are either on the take or interested in promoting their fetid views (moronic fundamentalist, bigoted/racist, anti working people and rural welfare).",1,1,0,1
"yes, lol, the morAns control everything.",0,1,0,0
That's funny eh? Two times. Not knowing how to spell a simple word like subtle then not knowing what the heck those red squiggly marks are.,0,1,0,0
"Typical right winger....they don't want government to intrude in their lives, except when it is an issue that they feel strongly about, then they are all for government restrictions and intrusion.",1,1,1,1
"1) Obama won't be running next election. 2) The US economy is booming, employment surging, the stock market at record heights. 3) You have no clue.",0,1,0,0
The problem is voters were to stupid to realize that 3 is impossible if you live up to 1 and 2. So its an accepted premise that she will break her promises. And the jokes on the dumb electorate.,1,1,0,1
"I don't believe Harper ever manhandled anyone in the House, so your comment is irrelevant.",0,1,1,0
"And what is Hudak planning on doing about it? Hmm? Answer: Not one thing. All Tim wants is you to work for less. Period. Now, if you are okay with that, by all means vote for Hudak. The rest of us don't.",0,1,0,0
Religion - A con job of massive proportions.,1,1,1,0
You are a fool. Your examples are ridiculous and not realistic. Try reality sometime... you'll like it.,1,1,1,1
"@tempsperdue If I were you, I'd put down the thesaurus and pick up a dictionary. It would make understanding language so much easier.",0,1,0,0
Stephen Harper is a bully. plain and simple. When will Canadians that support his party wake up and realize this?,0,1,0,0
'tea Party'--a scattered group of American patriots who believe in fair taxation and smaller Gov't.--what is it you people don't get.,0,1,0,0
An actually insightful article on the Globe and Mail. What will they think of next?,0,1,0,0
"quiet honey, the men are talking",0,1,0,0
Money doesn't buy back ecosystems destroyed by oil spills. Do your homework. Over 80 spills have been recorded in association with Trans-Canada. Pipelines leak oil. $1 per barrel won't change that.,0,1,0,0
I'm sure if water levels rise 2mm per year there'll be guys like Mark who will find a way not being able to adapt and will drown.,0,1,0,0
"Your calculations are suspect, less talking, more sweeping!",0,1,0,0
"You should try using punctuation. It makes you appear a bit smarter, even when you make a claim that no one can substantiate.",0,1,0,0
And you call the Wynne regime good government. Give your head a real good shake.!,0,1,0,0
Stay on topic and 86 the loser 'tar sands' rhetoric. The developemnt of the 'oil' sands is economically better for ALL Canadians.,0,1,1,0
"Work Farce, you've spent far too much time in the Republican echo chamber. Come out into the daylight and breathe the fresh air out here.",0,1,0,1
So long as they take care to acknowledge the connections and pre-commitments of all their other commentators... or do you only want labels on the people you disagree with?,1,1,0,0
"Gretz, please stick to running a failing hockey team.",0,1,1,0
Try making paragraphs. It is very difficult to read without.,0,1,0,0
'criminal'?Someone needs a dictionary.,0,1,0,0
"A 30 billion dollar deficit will take several decades to pay off. And this is just his first year in power. You are either sarcastic, or profoundly uninformed.",0,1,0,0
"Robert, those were the only 'facts' in your whole post.",0,1,0,0
CC Are you losing it? This article is written by two men. Notley (I assume Rachel) isn't even mentioned in this article.,1,1,1,0
"Go back and read the third paragraph, assuming you read the entire opinion in the first place,",0,1,0,0
"The media is about infotainment not reality and facts. All media is owned by six companies with their own agendas of propaganda. If you want facts, look elsewhere.",0,1,0,0
"I must practice some restraint and not read the comments. I only come away feeling frustrated and dismayed. For such a small population, we have such a lot of ignorance.",0,1,0,0
"So you're talking about Greenland and Antarctica, as well as ""the study area"". What about the rest of the world? Or doesn't it fit your hypothesis?",0,1,0,0
Did you get the knives arranged to your satisfaction son?,1,1,0,0
yeah yeah yeah....boring.,0,1,1,0
You can guarantee that intellectuals always get it wrong.,0,1,0,0
Pure drivel. But keep believing yourself!,1,1,1,1
If you knew the area you may well have second thoughts.,0,1,0,0
thelorax - your link doesn't make sense. It's about domestic violence - totally different topic.,0,1,0,0
"... because we have a cowardly Prime Minister, plain and simple !!!",0,1,0,0
You cant make big screen tvs from birch bark,0,1,0,0
Nice fantasy will you be self publishing it on Kindle?,0,1,0,0
Skyofblue....do some reading.,0,1,1,0
So you're with the child pornographers?,1,1,1,1
Liberal parasite.,1,0,1,1
' Equity ' ?Merely the equality industry at work. Next ...,0,0,1,0
You got that backwards.,0,1,1,0
Do you want the OILSANDS shut down??? typical left wing stupid comments!!!,1,1,1,1
Two equally offensive posts.,0,0,1,0
"It was a very good article until the last sentence, which I thought stupid.",1,1,1,1
Me thinks you are joking and just wanting responses,0,1,1,0
Please tell us that you don't teach our children!,1,1,1,0
What makes you an expert on using natural gas fired turbines for electrical generation? Have you ever designed or built one? Or are you just being your typical blowhard?,1,1,1,1
"Women are just as idiotic, particularly when young. They're just idiotic over different things. God knows they're idiotic enough about men.",1,1,1,1
"Rather a silly remark there, watchlist.",1,1,1,0
You haven't been around long enough to know who I am.I've been posting here for years. try reading about something other than Trump. .,1,0,1,0
Nonsense. All public money was private money coming from people with various moral beliefs. When it comes to killing people I support the right of opting out.,0,0,1,0
Mr. Walllace please check your false assumptions.,0,1,1,0
"As if you would know, Cabo.",0,1,1,0
"No, just Diversity. It's all he thinks about: Diversity, Diversity, Diversity, the answer to everything.",0,0,1,0
uninformed post..,0,1,1,0
Off topic.,0,0,1,0
You watch too much Cee Bee Cee.,0,0,1,0
Ken Maynard you've got some issues with reality,0,0,1,0
I just read the above. I am a scientist and this post is just total rubbish from an uneducated neocon moron.,1,1,1,1
Who let you in? Do you know .Because you were not even born at that time .,0,1,1,0
A simplistic hardened and vile response -,0,0,1,0
It was often like a pre-written play with the Conservatives reading from their prepared scripts. Complete contempt of the parliamentary process. Shameful!,1,1,1,0
"Moronic comment, Jimmie.",0,1,1,1
">> pursuing an international criminalSo you fell for that one, as well.",1,1,1,0
"Oh Lyle, that comment must be snark.",0,0,1,0
"Just leave and go on with your life dude, wtf",0,0,1,0
on the same grounds that you imagine they are not - i would study and research a little bit more if i were you,0,1,1,0
Wow the stupid meter registered that one as a 10! You win a free trip to a rubber room.,1,1,1,1
"@NEA2 - no one wants to hear from someone whose idea of a political discussion is to say ""he's dumb"".",0,1,1,0
Are you comparing Aboriginal children to those children with mental and physical challenges. I don't think so,1,0,1,0
"Your view is distorted by your politics, and by trying to get a job at McDonalds....",0,1,1,0
RobL44- Please try again. this comment is gibberish.,0,1,1,0
"My expectations of you were very low, Skyline, and you met them.",1,1,1,1
"Nonsense, and that is all that needs be said about that.",0,0,1,0
What an ignorant comment.,1,1,1,1
Really? Importing an American shop worn narrative into Canada to explain how this person 'forgot' where she was born? Really? Grow a few gray cells for heaven's sake.,1,1,1,0
You missed the point of that statement entirely.,0,0,1,0
"Right, just watch him destroy our country, sunny ways.........",0,0,1,0
"Believe what you want, but you would be wrong.",0,1,1,0
What an incredibly weak response. You have proven Bruce's point. Thanks for posting.,0,1,1,0
says who ?,0,0,1,0
You've accused a seasoned newspaper of ineptitude without offering any arguments. Seems like the only ineptitude here stems from your reasoning.,1,1,1,0
you reveal a great deal about yourself with that statement Boogey. You into the murder of journalists and arrest of the opposition? I already know the answer.,1,0,1,0
Stop living in the '40s Matt. The rest of us have moved on from this a long time ago...,0,0,1,0
What does it 'suck?',0,0,1,0
"you spoiled students have no idea what it's like to pay taxes, go back to your classrooms so you dont stay this stupid for life",1,1,1,1
The electorate are electing the party you dimwit,1,1,1,1
Or if you read the truth (Party of One; Kill the Messengers) you may be able to pull your own head out of your echo-chamber-nether-end.,1,1,1,1
"there is no case for more funds for BOMB, case closed",0,0,1,0
"Just for asking ""canfan"" for a valid reference to the work s/he is citing, I get two thumbs down votes. Apparently some here think of themselves as mushroom farmers LOL...",1,1,1,0
Only to those lacking the intelligence to understand the technology.,0,0,1,0
You are a nutbar aren't you?,1,0,1,0
"Yup everybody should be paid minimum wage including you, and be required to work 50 hours a week. When you get a little older and can't keep up, we'll replace you with a Temporary Foreign worker. More productive - lets do it.",0,0,1,0
Justin Trudeau entitled? Think again.,0,0,1,0
Tom Bernis - didn’t take you long to become incomprehensible. Quit while you’re behind.,1,1,1,0
"Jack, stop making a fool out of yourself. You only embarrass those who know you!",1,1,1,1
Almost not worth the time rebutting these people. It's a Fact-free zone that these conspiracy nuts live in.,1,1,1,0
"So many words, yet nothing of consequence said. Give it a rest. The editorial concerns the last PM.",0,1,1,0
"Don't you believe the entire Globe and Mail is a propaganda sheet, Gibson?",1,1,1,0
"Whatever the reasons, they are still dumb. Don't want to show your face?don't become a citizen.",1,1,1,1
"Ron, stop clowning around. I get it, I would once look for any reason to pounce on Harper, but you doing this is really sad.",1,1,1,1
"Michele, You are not logical. Perhaps you need to consider what double-dipping means. Hire teachers based on best qualifications and not where their pension comes from. Your posts just make zero sense.",0,1,1,0
Ah Lars. I've missed your rants and pipeline support. Visit a reserve and walk in those moccasins before you speak.,1,1,1,0
The CBC shows are fantastic-you are obviously not a listener.,0,0,1,0
The argument ad hominem is a classic error. You have just committed it.,0,0,1,0
How in the heck would anyone know at this time?? Lies,0,0,1,0
Hasn't proved squat.,0,1,1,0
Who cares.,0,0,1,0
"Happy with life, I understand you're a hypocrite, who alternates between posing as neutral, open and unbiased . . . and posting brainless insults at ""leftists"" and ""socialists."" I don't need 'a further schooling' on that, thanks.",1,1,1,1
To busy working on his tan.,0,0,1,0
You sound like an idiot,1,1,1,1
'graciousness of Kadhr.'Had to suppress an automatic gag reflex similar to the one gets upon smelling rotting garbage. In this case it was written....,1,1,1,0
"That is textbook Grade 10 Marxism, and silly.",0,1,1,0
"Webbie, you are the problem now go away",0,0,1,0
"Worst PM ever, worst government ever. Zero respect. A nation embarrassed. Pathetic.",0,0,1,0
I'd suspect you wouldn't know where in India a posting would be an agreeable one.,0,1,1,0
"Saunders didn't say Mair was representative, either, Layla. He said he was one of the more zealous followers of the Brexit movement. Are you so hard up for outrage that you have to make up stuff?",1,1,1,0
Old fart commie-pinkos.,1,1,1,1
Knew it had to be them Jews! No way the religion of Peace could be responsible! Damned tricky Jews... convincing poor Muslims to blow themselves up...,1,1,1,1
"Dickie, Dickie, Dickie. Get your little brain looked at.",0,0,1,0
or a seriously deluded person.,1,1,1,1
Wrong again Go!,0,0,1,0
Your nauseating overstatement confirms your moronic zealotry.,1,1,1,1
Who cares?,0,0,1,0
Iran has not vowed to nuke Israel. You're full of brown and smelly.,1,1,1,0
"If there were incontrovertible evidence, we would not have this discussion. Period.",0,0,1,0
You are wildly off-base. The author has far more insight and intellect to contribute than you can even grasp. Don't revel in your ignorance.,1,1,1,0
An opinion columnist without their own opinion - how ironic.,0,0,1,0
"It looks like the K brand poverty pimps just write other columns occasionally here at the Globe ... giving us a 'balanced' perspective. Wonder if they are paid for their columns, and where that money goes?",1,1,1,1
"Perhaps she gets away with it because her view is correct? In m opinion it is, so chew on that for a while. And while you are at it stop inflicting your own 'twisted and warped opinion of morality' on us.",0,1,1,0
Blasphemy!,0,0,1,0
"You have no evidence that he is a ""brilliant businessman"", other than his own statements. You don't know how much he makes or what he owns. In other words, you have bought his flummery lock, stock, and barrel. That pretty much makes YOU a dupe.",1,1,1,1
"No, you should never try to figure it out, it requires grade 10 reading comprehension and basic understanding of history and civics. Not possible for you, especially to do while playing video games and chatting on Facebag.",1,1,1,0
Anyone who begins with 'elitists in the media' doesn't deserve the time of day. Throwing mud is all you know.,1,1,1,0
Hahahaha! Funny post. I hate funny posts. Well-deserving of -20 votes. Posters here hate posters being funny.,0,0,1,0
Y'all be stoopid as fuck. ,1,1,1,1
djw: How can you even pretend that? The warming has slowed since 2001 but the warming continues. It continues in the lower limits of the 'expected range'.Perhaps you should enlighten us all with your place of information because it is wrong.,0,1,1,0
Thousands upon thousands of men and women out of work and she wants those unemployed to vote for her ????? What kind of job does she have for them???,0,0,1,0
No one shes a jew they get first class treatment even when they suck,1,1,1,1
This is just inflammatory nonsense,1,0,1,0
Stay angry twerp...........it makes you not reproduce.,1,0,0,1
Yech!!!!!!!If there was a better daily paper I would buy it.You are yellow bellied!,1,0,0,1
"Silver, the stupid people are the ones who fell for Harper's propaganda. Obviously Trudeau is not stupid. But you, and the other truly stupid people will believe whatever Steve tells you to believe.",1,0,0,1
I don't care if he is successful or not in rehab. I just want him gone. I am long past feeling compassion for that waste of skin.,0,0,0,1
"Prycho-artists are suffering from Hyper Greed Syndrome. They should be subjected to Greed management therapy, which includes generous use of sticks.",0,0,0,1
"No the Middle East is worst. US allies put gays to death, Russia has a law against literature.",0,0,0,1
Working for you probably blows anyways.,1,0,0,1
"No, you obstructionist jerks, we do not have to decide that.",1,0,0,1
if you can get around my dog.....I'll just shoot you,1,0,0,1
And that fcker McGuinty committed us to 80 cent per kilowatt hour solar!!! What an absolute POS.,1,0,0,1
"And Kathleen Wynne kicks the Ontario taxpayer in the teeth day after day with her wasted BILLIONS. Sorry, I forgot, wasted billions is okay with the sheeple crowd. Afterall, what possible good causes could use that money? Hypocrites!!!",1,0,0,1
There's a slew of Americans trolling the English-speaking Internet to see where they can get in a few shots against planned parenthood. I believe you are one of them.,1,0,0,1
"Harper is the Chinese , French and US oil B%^&*",0,0,0,1
not going to read the hate spiel from this lunatic but I bet there is some stuff about sexism as well... oh and the racism thing as well.,1,0,0,1
Trump is an idiot.,0,0,0,1
All cats are stupid and mean,0,0,0,1
You have put your hand on it Puddy we are dealing with a bunch of spoiled brats who are experts at draggins on agovernment tit,0,0,0,1
More like an empty Congress full of cowardly obstructionist tea party losers.,1,0,0,1
yeah those darn christians.,1,0,0,1
"'How a preening, bellicose racist was allowed to trump American values'Shouldn't this read...'How a preening, bellicose racist has continued to reflect the values or lack thereof, of many Americans?'",1,1,0,1
"Brexit was won by the people who were told so often by Britain's elite educators, politicians and media. to shut the f() k up and to keep their stupid opinions to themselves because they are just a bunch of GD racists and idiots.",1,0,0,1
Disgusting hypocritical filth.,1,0,0,1
Political Scientist1 3 hours agoThe paid hasbara trolls and the sycophant G&M Censors on this thread have been really busy overnight!! ______i see more paid naive leftists in the west trollsG and M censors are moderators,1,0,0,1
"Three of the men were Chinese Americans? What might that mean to the ""Author"" of this garbage?",0,1,0,1
The Poles ............. and Dutch still remember the last idiot who talked like Trump.,1,0,0,1
thats it. I'm done reading this stupid rag. Signing off FOREVERBYE,1,0,1,1
Trudeau got in an unblocked jab to fatty.,0,0,0,1
Did you bother to even sober up before typing this johnny - I expect you are one of those drunk in your apartment lying in your own vomit (ok I added that but likely true).,1,1,0,1
"You have to admit, waiting to see just what kind of idiotic crap the duh-niers come up with is pretty entertaining.",1,0,0,1
"hey KAM , the article is a propaganda piece shilling for hillary,, if you cant see it, your ignorant of reality,,",1,1,0,1
"You'd have to read Tom Berger's other works for an answer to your strangely insensitive question, Motihari. You apparently have no understanding of what happens at the confluence of ethnic division and history. BB is obviously no further ahead.",1,1,1,1
"Dual citizen ship is a No No. One can not serve two masters. When one bows to master one its but is facing master two and vice versa. You come to Canada embrace it. If one is sceptical, Just do not apply for citizen ship fair enough.",0,0,0,1
Oh and he fixed EI. I know it pains you lefties that you will now have to work an entire year but the people paying the bills in this country are rather pleased.,1,1,0,1
It's a disgusting racket producing sludge by unsustainable means.,0,0,0,1
"Hadfield is an environmentalist as well as a scientist, you boobs. Is this party of hillbilly science deniers going to suddenly sing Hallelujah for a scientist and an environmentalist? Does the stupidity burn your mouth as you speak.",0,0,0,1
I believe they are so stupid re power generation they actually think the likes of wind turbines could actually replace nuclear power.,1,1,0,1
'my Canada'?Maybe that's the problem. Canada owns you more than you own Canada.,0,0,0,1
Lmao you pathetic racists never fail to make me laugh,1,0,0,1
Congradulations Redrider you have the bottom 4 comments on this board. Never seen a 4 time looser before.,1,1,1,1
"I truly hope Brown wins tonight. Time somebody was in Wynne-bags face, hope he throws her under the bus. I will work and donate for and to the Conservatives in the next election we need to be rid of this woman and her cabal",0,0,0,1
PET tried to destroy Canada and may he burn in hell.,0,0,0,1
"I think you are talking about the second amendment, but in any case just a stupid comment.",1,1,1,1
lets go............ the sooner we get rid of this piece of filth the betterTime to take back Canada and her democracy,1,0,0,1
"Every time Harper speaks, we are reminded that he is yesterday's man.",0,0,0,1
"Coverage that reports what someone said is different from insults. Leitch's problem is the same as Trump's....she says such dumb things that simply reporting what she says looks like an attack piece, when it nothing more than news.",1,0,0,1
"He was mentally ill, nothing to do with leave or stay, political opportunism at its 'worst.",1,0,0,1
"Roses are red, Violets are blue, Justin is stupid, And his voters are too.",1,0,0,1
"Ms. Byrne, you are ignorant, uneducated and coarse. Go away. And Globe and Mail? Shame on you for giving her a forum. She adds NOTHING.",1,0,0,1
"NO. its what progs do. They are ridiculously divisive, accuse Conservatives of being divisive, and unfortunately people like you seem to love their lying hypocrisy.",1,1,0,1
It's probably under 'L' for 'Leftist Scum'. or maybe under 'W' for 'willfully ignores my wisdom'.,1,1,0,1
"'Complain all you want. The ontario liberals are bad, the Fed conservatives are bad.'Ok.Let's settle for 'politicians' are bad.",1,0,0,1
"Joe never had political smarts, Trudeau ate him alive.",1,0,0,1
"What a meaningless article, all I read was blah, blah and more blah....then I stopped reading..",1,0,0,1
Just another media weasel. Why the f should we care?,0,0,0,1
'Get the f**k out of my sunny ways!',1,0,0,1
"Garbage autist, you missed trash collection yesterday, next time hop in and save everyone ssome time",1,0,0,1
"No truthful friend, but then folks like you have always had a problem with the truth.",0,1,0,1
Ah - no wonder when the white Christian man came they considered native canadians 'uncivilized' when their definition of civilzation was built on the wisdom of the Pope who considered individual conscience stupid.,0,0,0,1
"exactly, these pigs suck on the teat of the taxpayer engorging themselves, and then tell Canadians they need to raise taxes... and wage war on the front-line public service workers making modest incomes.",1,0,0,1
